"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 15 13:11:02 GMT 2024","Mon Jan 15 13:11:02 GMT 2024","7","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginParametrizedTestWithCSVFile","loginParametrizedTestWithCSVFile(String, String) Petr, 111 test done!!!",""
"passed","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","6","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginFailedIfUserNotExists","loginFailedIfUserNotExists(RepetitionInfo) loginFailedIfUserNotExists(RepetitionInfo) :: repetition 5 of 7",""
"skipped","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","0","","ru.pstest.junit.service.UserServiceTest","","ru.pstest.junit.service.UserServiceTest","usersConvertedToMapByIDByHamcrest","usersConvertedToMapByIDByHamcrest()",""
"passed","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","12","","ru.pstest.junit.service.UserServiceTest","","ru.pstest.junit.service.UserServiceTest","usersSizeIfUserAdded","usersSizeIfUserAdded()",""
"skipped","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","0","","ru.pstest.junit.service.UserServiceTest","","ru.pstest.junit.service.UserServiceTest","shouldDeleteExistedUser","shouldDeleteExistedUser()",""
"passed","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","5","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginFailedIfUserNotExists","loginFailedIfUserNotExists(RepetitionInfo) loginFailedIfUserNotExists(RepetitionInfo) :: repetition 6 of 7",""
"passed","Mon Jan 15 13:10:59 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","1997","","ru.pstest.junit.service.UserServiceTest","","ru.pstest.junit.service.UserServiceTest","userListEmptyIfNoUserAdded","2. Если пользователь не добавлен, то коллекция пустая",""
"passed","Mon Jan 15 13:11:02 GMT 2024","Mon Jan 15 13:11:02 GMT 2024","9","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginParametrizedTestWithCSVFile","loginParametrizedTestWithCSVFile(String, String) Ivan, 123 test done!!!",""
"passed","Mon Jan 15 13:11:02 GMT 2024","Mon Jan 15 13:11:02 GMT 2024","16","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","throwExceptionIfUsernameOrPasswordIsNull","throwExceptionIfUsernameOrPasswordIsNull()",""
"passed","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","6","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginFailedIfUserNotExists","loginFailedIfUserNotExists(RepetitionInfo) loginFailedIfUserNotExists(RepetitionInfo) :: repetition 4 of 7",""
"passed","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","136","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","checkLoginFunctionalityPerformance","checkLoginFunctionalityPerformance()",""
"passed","Mon Jan 15 13:11:01 GMT 2024","Mon Jan 15 13:11:01 GMT 2024","5","","Проверка функциональности логина","","ru.pstest.junit.service.UserServiceTest$LoginTest","loginParametrizedTest","loginParametrizedTest(String, String, Optional) [3] Ivan, dummy, Optional.empty",""
"passed","Mon Jan 15 13:11:02 GMT 2024","Mon Jan 15 13:11:05 GMT 2024","3253","","ru.pstest.ui.SimpleUITestingTest","","ru.pstest.ui.SimpleUITestingTest","testSimpleUIText","testSimpleUIText()",""
